EstadoCivil,Curso,QualificacaoAnterior,QualificacaoAnteriorGrau,Nacionalidade,NotaAdmissao,NecessidadesEspeciais,Devedor,MensalidadesEmDia,Genero,Bolsista,International,UnidadesCurriculares1SemestreCreditado,UnidadesCurriculares1SemestreInscrito,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares1SemestreSemAvaliacoes,UnidadesCurriculares2SemestreCreditado,UnidadesCurriculares2SemestreInscrito,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares2SemestreAprovado,UnidadesCurriculares2SemestreGrau,UnidadesCurriculares2SemestreSemAvaliacoes,TaxaDesemprego,TaxaInflacao,PIB,Target,target_class,target,target_excl_enrolled
Solteiro,Design de Animação e Multimédia,Ensino Secundário,122.0,Português,127.3,0,0,1,Masculino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Desistente,Desistente,1,1
Solteiro,Turismo,Ensino Secundário,160.0,Português,142.5,0,0,0,Masculino,0,0,0,6,6,6,14.0,0,0,6,6,6,13.6666666666666,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Design de Comunicação,Ensino Secundário,122.0,Português,124.8,0,0,0,Masculino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Desistente,Desistente,1,1
Solteiro,Jornalismo e Comunicação,Ensino Secundário,122.0,Português,119.6,0,0,1,Feminino,0,0,0,6,8,6,13.428571428571399,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduado,Graduado,0,0
Casado,Serviço Social (prestação nocturna),Ensino Secundário,100.0,Português,141.5,0,0,1,Feminino,0,0,0,6,9,5,12.333333333333304,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Casado,Gestão (presencial noturno),Ensino Básico (3º Ciclo),133.1,Português,114.8,0,1,1,Masculino,0,0,0,5,10,5,11.857142857142803,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,142.0,Português,128.4,0,0,1,Feminino,1,0,0,7,9,7,13.3,0,0,8,8,8,14.344999999999999,0,15.5,2.8,-4.06,Graduado,Graduado,0,0
Solteiro,Turismo,Ensino Secundário,119.0,Português,113.1,0,0,0,Masculino,0,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Desistente,Desistente,1,1
Solteiro,Serviço Social,Ensino Secundário,137.0,Romeno,129.3,0,0,1,Feminino,1,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857096,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Solteiro,Serviço Social,Ensino Secundário,138.0,Português,123.0,0,1,0,Feminino,0,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Desistente,Desistente,1,1
