scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
early_warning,Early Warning,principal,default,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,24,{}
early_warning,Early Warning,principal,default,dummy_prior,precision,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,default,dummy_prior,recall,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,default,dummy_prior,f1,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,default,dummy_prior,f2,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,default,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,24,{}
early_warning,Early Warning,principal,default,logistic,accuracy,0.8569931903398178,0.8511063630204804,0.01591616142709855,0.005886827319337429,24,{}
early_warning,Early Warning,principal,default,logistic,precision,0.8457399988040585,0.8317606552237157,0.02754634604120287,0.013979343580342807,24,{}
early_warning,Early Warning,principal,default,logistic,recall,0.6783221137132202,0.6720623318613269,0.03219031969033367,0.006259781851893242,24,{}
early_warning,Early Warning,principal,default,logistic,f1,0.752822751705526,0.7432727155693339,0.029418527924372127,0.009550036136192097,24,{}
early_warning,Early Warning,principal,default,logistic,f2,0.7062777130341342,0.6988156313766919,0.031129378196502806,0.007462081657442332,24,{}
early_warning,Early Warning,principal,default,logistic,roc_auc,0.9034126003056226,0.8931184212114994,0.016648992653033722,0.010294179094123224,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,accuracy,0.8444771705832593,0.8365626139976028,0.012988689597824957,0.00791455658565654,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,precision,0.7414829397351171,0.731000464465889,0.02690909652183013,0.010482475269228186,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,recall,0.7917508928289246,0.7797015379929952,0.025119610189689823,0.012049354835929393,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,f1,0.7657719566639056,0.7540027481566121,0.016332015548369983,0.011769208507293571,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,f2,0.7811451240373816,0.7690669405825605,0.01911706917661122,0.012078183454821034,24,{}
early_warning,Early Warning,principal,default,logistic_balanced,roc_auc,0.9043579525735232,0.893088937849558,0.015773675529860677,0.011269014723965243,24,{}
early_warning,Early Warning,principal,default,random_forest,accuracy,1.0,0.8446427640835896,0.009688806277110072,0.15535723591641037,24,{}
early_warning,Early Warning,principal,default,random_forest,precision,1.0,0.8013100174465322,0.019796720937485964,0.19868998255346781,24,{}
early_warning,Early Warning,principal,default,random_forest,recall,1.0,0.6871326328612761,0.030112213941194087,0.3128673671387239,24,{}
early_warning,Early Warning,principal,default,random_forest,f1,1.0,0.7393378550556451,0.018932484038523992,0.2606621449443549,24,{}
early_warning,Early Warning,principal,default,random_forest,f2,1.0,0.7070051452917919,0.02547869053928955,0.2929948547082081,24,{}
early_warning,Early Warning,principal,default,random_forest,roc_auc,1.0,0.8894821035629592,0.014002001501254947,0.1105178964370408,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,accuracy,1.0,0.8456125905466674,0.009410731129360514,0.15438740945333262,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,precision,1.0,0.8094090172722094,0.019498715027603485,0.19059098272779063,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,recall,1.0,0.6800720775595147,0.036390057640803115,0.3199279224404853,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,f1,1.0,0.7383546707069082,0.020992180289041477,0.2616453292930918,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,f2,1.0,0.702099555077747,0.030439177071493972,0.297900444922253,24,{}
early_warning,Early Warning,principal,default,random_forest_balanced,roc_auc,1.0,0.8912505889068036,0.012798288366105434,0.10874941109319636,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,accuracy,0.9732721653101913,0.846902391995414,0.01038964975993828,0.1263697733147774,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,precision,0.9874477778027121,0.8117321904307906,0.027928190829724357,0.1757155873719215,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,recall,0.9285714737208053,0.6831277600121822,0.031671190951203354,0.24544371370862306,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,f1,0.9570945483545094,0.7410791681034945,0.018759390967965455,0.21601538025101485,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,f2,0.9397719400517275,0.7050285633487843,0.025962977711897584,0.2347433767029432,24,{}
early_warning,Early Warning,principal,default,hist_gradient_boosting,roc_auc,0.9981503530751608,0.8848776576634393,0.01286489206682971,0.11327269541172147,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,precision,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,recall,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,f1,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,f2,0.0,0.0,0.0,0.0,24,{}
early_warning,Early Warning,principal,tuned,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,24,{}
early_warning,Early Warning,principal,tuned,logistic,accuracy,0.8584466591837148,0.851104799624785,0.013906284362925887,0.007341859558929742,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic,precision,0.8466162512549282,0.8286474677700768,0.0251263538386358,0.017968783484851425,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic,recall,0.6828494674631017,0.6760824323638394,0.02734452035811599,0.006767035099262353,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic,f1,0.7559525215841808,0.7444924045842651,0.025124104459383564,0.01146011699991567,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic,f2,0.7103235325513829,0.701855019319036,0.026393976956662225,0.008468513232346875,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic,roc_auc,0.9035093666600522,0.8922670749903112,0.017068663378835138,0.011242291669741,24,"{""model__C"": ""10.0""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,accuracy,0.8481107937777146,0.8381802074104956,0.013963598902247326,0.009930586367218996,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,precision,0.7499573482938748,0.7336100739852202,0.02848127991714727,0.01634727430865468,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,recall,0.7907439714294744,0.7816912847063601,0.02553080278232754,0.009052686723114323,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,f1,0.7697707309442878,0.7563325834501334,0.018018967297024527,0.013438147494154395,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,f2,0.782208538736433,0.7711985670102603,0.019968252661707292,0.011009971726172685,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,logistic_balanced,roc_auc,0.9015125564233009,0.893271481950029,0.013911631739447658,0.008241074473271826,24,"{""model__C"": ""0.1""}"
early_warning,Early Warning,principal,tuned,random_forest,accuracy,1.0,0.8446427640835896,0.009688806277110072,0.15535723591641037,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest,precision,1.0,0.8013100174465322,0.019796720937485964,0.19868998255346781,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest,recall,1.0,0.6871326328612761,0.030112213941194087,0.3128673671387239,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest,f1,1.0,0.7393378550556451,0.018932484038523992,0.2606621449443549,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest,f2,1.0,0.7070051452917919,0.02547869053928955,0.2929948547082081,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest,roc_auc,1.0,0.8894821035629592,0.014002001501254947,0.1105178964370408,24,"{""model__max_depth"": ""None"", ""model__min_samples_leaf"": ""1""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,accuracy,0.8785533532081582,0.8372114232112148,0.005377502967444365,0.041341929996943416,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,precision,0.7939495944494533,0.7295863396144121,0.009484010300886985,0.06436325483504124,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,recall,0.8397891975601277,0.7837064108420893,0.022875280813014102,0.05608278671803846,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,f1,0.8162039756352332,0.7554442425549753,0.0107681051316701,0.06075973308025784,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,f2,0.8301875880888483,0.7720912257797462,0.017517697940730114,0.05809636230910209,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,random_forest_balanced,roc_auc,0.9539011097497484,0.8936712461754537,0.012131666488310678,0.06022986357429472,24,"{""model__max_depth"": ""12"", ""model__min_samples_leaf"": ""5""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,accuracy,0.9290215377270566,0.8511037573609881,0.013616999564693484,0.07791778036606856,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
early_warning,Early Warning,principal,tuned,hist_gradient_boosting,precision,0.9419001993849525,0.8162241612529687,0.03069643828140694,0.1256760381319838,24,"{""model__learning_rate"": ""0.05"", ""model__max_iter"": ""100""}"
